IndicatorType	reportingperiod	orgunit	orgnunituid	mech_code	partner	operatingunit	psnu	indicator	sex	age	population	otherdisaggregate	numdenom	val
Custom	FY21 Q3	Chongoene	jDWCkBXYllV	18280	FHI360	Mozambique	Chonguene	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	11
Custom	FY21 Q3	Cuamba	IBMUL2QvXz9	18280	FHI360	Mozambique	Cuamba	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	10
Custom	FY21 Q3	Dondo	QJviLU1xwFA	18280	FHI360	Mozambique	Dondo	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	27
Custom	FY21 Q3	Gondola	X7cjhY4Bip4	18280	FHI360	Mozambique	Gondola	PrEP_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	33
Custom	FY21 Q3	Gondola	X7cjhY4Bip4	18280	FHI360	Mozambique	Gondola	PrEP_SCREEN			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	33
Custom	FY21 Q3	Gondola	X7cjhY4Bip4	18280	FHI360	Mozambique	Gondola	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	9
Custom	FY21 Q3	Gurue	TNxjWVnFcH3	18280	FHI360	Mozambique	Gurue	PrEP_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	2
Custom	FY21 Q3	Gurue	TNxjWVnFcH3	18280	FHI360	Mozambique	Gurue	PrEP_SCREEN			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	20
Custom	FY21 Q3	Gurue	TNxjWVnFcH3	18280	FHI360	Mozambique	Gurue	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	7
Custom	FY21 Q3	Inhambane	OgL15C7NJo9	18280	FHI360	Mozambique	Inhambane	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	26
Custom	FY21 Q3	Inhambane	OgL15C7NJo9	18280	FHI360	Mozambique	Inhambane	TX_NEW_VERIFY			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	12
Custom	FY21 Q3	Inhambane	OgL15C7NJo9	18280	FHI360	Mozambique	Inhambane	TX_NEW_VERIFY			People in prisons and other closed settings	Site Support Type: PEPFAR supported	Numerator	12
Custom	FY21 Q3	Inhassoro	dOgwIHGxt8L	18280	FHI360	Mozambique	Inhassoro	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	11
Custom	FY21 Q3	Kamaxakeni	IYDPRaPGDFu	18280	FHI360	Mozambique	Kamaxakeni	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	6
Custom	FY21 Q3	Kamaxakeni	IYDPRaPGDFu	18280	FHI360	Mozambique	Kamaxakeni	TX_NEW_VERIFY			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	5
Custom	FY21 Q3	Kamaxakeni	IYDPRaPGDFu	18280	FHI360	Mozambique	Kamaxakeni	TX_NEW_VERIFY			People who inject drugs (PWID)	Site Support Type: PEPFAR supported	Numerator	3
Custom	FY21 Q3	Lichinga	oWKesP8CeL0	18280	FHI360	Mozambique	Lichinga	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	14
Custom	FY21 Q3	Lichinga	oWKesP8CeL0	18280	FHI360	Mozambique	Lichinga	TX_NEW_VERIFY			People in prisons and other closed settings	Site Support Type: PEPFAR supported	Numerator	10
