Partner,Province,District,Health Facility,DATIM_code,SISMA_code,Type,Period,attribute,value,indicator
ARIEL,Cabo Delgado,Mueda,Mbuo CS III,oNfV9ntBJ9u,1021113,ER_P2,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,0,Recent Pos TB Screen
ARIEL,Cabo Delgado,Mueda,Mbuo CS III,oNfV9ntBJ9u,1021113,ER_P2,2021-04-20,TX_CURR_W_TPT_last7Mo,49,Actively on TPT
ARIEL,Cabo Delgado,Mueda,Mbuo CS III,oNfV9ntBJ9u,1021113,ER_P2,2021-04-20,TX_CURTot,961,TX_CURR
ARIEL,Cabo Delgado,Mueda,Mbuo CS III,oNfV9ntBJ9u,1021113,ER_P2,2021-04-20,TPT_candidates,529,TPT Candidates
ARIEL,Cabo Delgado,Mueda,Mbuo CS III,oNfV9ntBJ9u,1021113,ER_P2,2021-04-20,TPT_ineligible,1,TPT Ineligible
ARIEL,Cabo Delgado,Mueda,M'Peme CS III,RW617O0UjQJ,1021108,ER_P2,2021-04-20,TX_CURR_TPT_Com,185,TPT Completed
ARIEL,Cabo Delgado,Mueda,M'Peme CS III,RW617O0UjQJ,1021108,ER_P2,2021-04-20,TX_CURR_TB_tto,4,Recent Active TB TX
ARIEL,Cabo Delgado,Mueda,M'Peme CS III,RW617O0UjQJ,1021108,ER_P2,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,0,Recent Pos TB Screen
ARIEL,Cabo Delgado,Mueda,M'Peme CS III,RW617O0UjQJ,1021108,ER_P2,2021-04-20,TX_CURR_W_TPT_last7Mo,91,Actively on TPT
ARIEL,Cabo Delgado,Mueda,M'Peme CS III,RW617O0UjQJ,1021108,ER_P2,2021-04-20,TX_CURTot,1276,TX_CURR
ARIEL,Cabo Delgado,Mueda,M'Peme CS III,RW617O0UjQJ,1021108,ER_P2,2021-04-20,TPT_candidates,996,TPT Candidates
ARIEL,Cabo Delgado,Mueda,M'Peme CS III,RW617O0UjQJ,1021108,ER_P2,2021-04-20,TPT_ineligible,4,TPT Ineligible
ARIEL,Cabo Delgado,Mueda,Mueda CS I,ElmgbenqYn7,1021106,ER_P2,2021-04-20,TX_CURR_TPT_Com,433,TPT Completed
ARIEL,Cabo Delgado,Mueda,Mueda CS I,ElmgbenqYn7,1021106,ER_P2,2021-04-20,TX_CURR_TB_tto,68,Recent Active TB TX
ARIEL,Cabo Delgado,Mueda,Mueda CS I,ElmgbenqYn7,1021106,ER_P2,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,41,Recent Pos TB Screen
